unique_id,billed_entity_name,billed_entity_number,billed_entity_phone,billed_entity_email,billed_entity_city,billed_entity_state,billed_entity_zip
f5ead115-760d-4d11-8130-c106bcdf00c9,ARIZONA STATE DEPT OF EDUC,142896,623-332-6357,milan.eaton@azed.gov,PHOENIX,AZ,85007
cb7b4c9c-f560-4d1d-937a-6999d168a36a,DIVINE MERCY CATHOLIC SCHOOL,63463,507-334-7706,gashley@dmcs.cc,FARIBAULT,MN,55021
39d4099a-b7d9-4c3e-83cf-871b5b4e3c1b,ARMOREL PUBLIC SCHOOL DISTRICT,139550,870-763-6639,,BLYTHEVILLE,AR,72315
5876b517-e8e7-4490-958c-22fcc1c97374,Olive Grove Charter School District,17021188,805-623-1111,,Santa Maria,CA,93455
e520eb81-f6d5-41ef-9044-59beffc3f6e3,OXFORD AREA SCHOOL DISTRICT,126210,610-932-6600,,OXFORD,PA,19363
64d8036e-8bf3-4f5b-96c1-0b4113fa8738,Lincoln Intermediate Unit 12 - LLN,17000344,717-624-4616,hgkirchner@iu12.org,New Oxford,PA,17350
1ba4f0b8-79c4-4923-9fff-892cee071de8,INDIANAPOLIS MARION COUNTY PUBLIC  LIBRARY,224210,317-275-4910,,INDIANAPOLIS,IN,46208
b3e8d968-3aa2-43d4-a2d4-5a4eceb8e749,ARTS ACADEMY IN THE WOODS,233056,586-228-3300,bthompsonaaw@misd.net,FRASER,MI,48026
d35d9854-141e-439a-9286-fe9618f278eb,INDIANAPOLIS MARION COUNTY PUBLIC  LIBRARY,224210,317-275-4910,,INDIANAPOLIS,IN,46208
27b40b6b-72da-4374-b7e7-1a66ffee4559,ACADEMIA SAN JUAQUIN,232796,787-829-3040,academiasanjoaquin1@gmail.com,ADJUNTAS,PR,00601
367fede1-4c6f-4288-921a-51378c6f0aab,COLUSA CO OFFICE OF EDUCATION,144635,530-458-0350,erate@adtechgroup.com,COLUSA,CA,95932
8c3e7e37-27f0-4d77-a6d3-ceaad8e514f9,CONWAY SCHOOL DISTRICT,121289,603-447-8368,d_pappalardo@sau9.org,CONWAY,NH,03818
6bc092f4-5521-43c7-aedd-540794a783fa,High Achievement Christian School,17002928,787-248-8848,msvazquezleon@gmail.com,Bayamon,PR,00959
bb04a749-3396-4014-9b9e-af6bc4b70701,MINNESOTA STATE ACADEMIES,225813,507-384-6605,,FARIBAULT,MN,55021
c1f5ade9-dcc3-4bbe-ac3e-812164e595ae,Educational Service Unit No. 13,17000096,308-635-3696,tech@esu13.org,Scottsbluff,NE,69361
21035bcb-68c9-4a63-b52d-e77123901536,ALEDO INDEP SCHOOL DISTRICT,140837,817-441-8327,,ALEDO,TX,76008
25abd893-27bb-4202-be6b-982291fbb1f8,CRAVEN-PAMLICO RG LIB,127033,252-638-7800,kat.clowers@cpcrl.org,NEW BERN,NC,28560
ac00082e-234b-4e24-9b0d-1ea38ed87999,ADAMS COUNTY LIBRARY SYSTEM,125762,717-334-5716,,GETTYSBURG,PA,17325
1ac8ff49-db79-48ac-b89c-7b6b2a0bf1d0,TRANSITIONS SCHOOL,16028821,217-223-0413,,QUINCY,IL,62305
8623ecbd-e85f-4ca3-8c3d-6a0b3496b7b3,Erie 1 BOCES,149384,716-821-7000,pdoyle@e1b.org,West Seneca,NY,14224
2f3b31d6-4422-4faf-a77a-7cbe1641b17d,COFFEE COUNTY MANCHESTER PUBLIC LIBRARY,156528,931-723-5143,rpollock@coffeecountylibrary.org,MANCHESTER,TN,37355
1caa3327-9ac8-4851-894c-4e10b916bae5,BRUNSWICK COUNTY LIBRARY,127009,910-457-6237,,SOUTHPORT,NC,28461
24e5d29c-682f-4708-808f-0462ba3439c2,COLCHESTER DISTRICT LIBRARY,136521,309-776-4861,,COLCHESTER,IL,62326
f4b2e56f-843f-4926-a27d-8c631156165c,KENNER DISCOVERY HEALTH SCIENCES ACADEMY,16074731,504-233-4720,amy.gray@discoveryhsf.org,METAIRIE,LA,70003
005966fe-76eb-46a3-a0f9-991bf5025930,BURLINGTON SUPERVISORY DIST 15,121928,802-864-8434,mkeenan@bsdvt.org,BURLINGTON,VT,05401
9ce82f7c-cbad-4a4b-9c67-4c4c1e892705,The Good Shepherd Nativity Mission School,16020208,504-598-9399,,NEW ORLEANS,LA,70119
548abd0c-cbcf-43ac-9f8b-a2b1e63afb83,Incarnate Word Parish School,73610,314-576-5366,scunningham@incarnate-word.org,Chesterfield,MO,63017
7b55edf1-b3e9-4a56-a2fa-638d184a8733,MOORESVILLE PUBLIC LIBRARY,130257,317-831-7323,,MOORESVILLE,IN,46158
a4f0eb7b-ed56-4962-8893-ef8340d25a66,RAPOPORT ACADEMY PUBLIC SCHOOL,234116,254-754-8000,delliott@rapoportacademy.com,WACO,TX,76704
f0780f4b-28a8-4d10-9d5b-c6baada1f464,LIFE Academy Charter School,17027710,716-605-8760,ariley@lifeacademyal.com,Montgomery,AL,36108
0b84205d-a024-42b9-9a89-1ba0c3b3a555,NORTHWEST ALLEN CO SCHOOL DIST,130456,260-637-3155,,FORT WAYNE,IN,46845
69db105a-771c-4365-98dd-d5c81ee2844d,HOUSTON COUNTY PUBLIC LIBRARY,127445,478-987-3050,jspaulk@houpl.org,PERRY,GA,31069
6e4f3626-0766-44a7-8020-ba6968b4ee01,COMMUNITY UNIT SCHOOL DIST 4,136530,217-936-2111,,MENDON,IL,62351
b52f190d-525e-4782-918e-8389252b9df8,ECHO SCHOOL DISTRICT 5,145112,541-376-8436,raymon.smith@echosd.org,ECHO,OR,97826
ef4b2c78-9540-4b0f-b470-7bda5c735f79,EDUCATION EXPLOSION INC.,16076052,224-224-2786,Hank@eratesupport.org,BAKER,LA,70714
