unique_id,billed_entity_name,billed_entity_number,billed_entity_phone,billed_entity_email,billed_entity_city,billed_entity_state,billed_entity_zip
6282b65c-a934-4099-bff8-9d413d18269c,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
950a70a9-d938-4a9b-952d-16610e4f2156,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
8ab2253c-d61d-41a6-b2ee-885d47c3a996,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
eb9c7b82-4856-4da1-98f6-e9ccba913c8b,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
9bfc5fd2-d046-4ad0-bffc-f7202e2a6904,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
ccd15783-3f43-485c-a8db-25706d63eb02,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
f566e022-6b33-42f3-96fb-fedb47846ee5,HOLY CROSS HEAD START,16051825,716-852-8373,,BUFFALO,NY,14201
54041b19-bb0d-44a9-b0dc-64b8e2c07b69,SOUTHERN HILLS J V S D,129842,937-378-6131,dale.knechtly@shctc.us,GEORGETOWN,OH,45121
d8be0782-1e8b-4ec1-a2da-2e808ddb9ca6,ENOCH PRATT FREE LIBRARY - SAILOR,17003274,410-396-8391,epfl-sailor-erate@prattlibrary.org,BALTIMORE,MD,21201
73622daa-45b6-4c8d-9b77-d6fe8d4ffd7b,ENOCH PRATT FREE LIBRARY - SAILOR,17003274,410-396-8391,epfl-sailor-erate@prattlibrary.org,BALTIMORE,MD,21201
8f103507-d741-4db5-adb3-7eafd5c74167,ENOCH PRATT FREE LIBRARY - SAILOR,17003274,410-396-8391,epfl-sailor-erate@prattlibrary.org,BALTIMORE,MD,21201
c90ca49d-19ef-4831-b640-963c1f7ba4c2,ENOCH PRATT FREE LIBRARY - SAILOR,17003274,410-396-8391,epfl-sailor-erate@prattlibrary.org,BALTIMORE,MD,21201
7a736bd8-c0d4-42dc-80f3-716834785986,ENOCH PRATT FREE LIBRARY - SAILOR,17003274,410-396-8391,epfl-sailor-erate@prattlibrary.org,BALTIMORE,MD,21201
abc60c1a-fcbc-4274-b060-1da3d0d4f0a0,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
ce98c6f2-3e7c-4902-aaa6-60a57b3cb5ce,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
3905608d-c1f8-47c9-a990-f48179844f05,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
a16c73fc-a0fd-40ba-b9c0-ad31c65268cf,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
b65b6c6e-5bfc-4e6d-b7fe-3b567d56c3e5,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
dceac641-40a9-4729-907d-47df6a09eb29,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
91a54896-efd6-40ed-b96b-34fcc388f79c,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
8704d45f-0d24-4790-ad3c-7f6c4d765ad5,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
e18747cb-bc6f-40e3-9d93-224f06a0dc04,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
ff9ba904-7051-42a1-a99c-ad1fa921d326,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
0055a0d6-d518-40ea-8d09-52ec6c11ea8c,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
ea4c400c-6515-4e8f-8bd9-0a895cb60fa6,CHILDREN'S FRIEND AND SERVICE,16057141,401-276-4300,,PROVIDENCE,RI,02903
