application_number,request_for_proposal_document,rfp_identifier,rfp_upload_date,total_services_requested,certified_date_time
240000013,http://publicdata.usac.org/SL/Prd/Form470/350909/240000013/DARK%20or%20LIT%20FIBER%20LOS%20ALTOS%20FY%202024.pdf,true,2023-10-19T18:10:01.000,28,2023-10-19T18:25:00.000
240000019,http://publicdata.usac.org/SL/Prd/Form470/340211/240000019/HS_DarkFiber_LitFiberService_RFQ_2024x.docx,true,2023-07-11T10:07:18.000,2,2023-07-11T10:40:16.000
240000026,http://publicdata.usac.org/SL/Prd/Form470/365761/240000026/SOW%20007%20FY24%20Basic%20Maintenance%20Existing%20Network%20Infrastructure.pdf,true,2023-08-11T09:08:46.000,74,2023-08-11T09:35:44.000
240000032,,false,,1,2023-07-13T14:47:34.000
240000035,,false,,1000,2023-07-14T11:53:41.000
240000038,,false,,1,2023-07-14T13:57:38.000
240000040,http://publicdata.usac.org/SL/Prd/Form470/351460/240000040/Additional%20Information.pdf,true,2023-09-18T20:09:21.000,1,2023-09-18T20:56:19.000
240000043,,false,,1,2023-07-17T10:19:10.000
240000044,,false,,1,2023-07-17T10:38:15.000
240000045,,false,,1,2023-07-17T10:47:33.000
240000046,,false,,1,2023-07-17T10:52:45.000
240000051,http://publicdata.usac.org/SL/Prd/Form470/351406/240000051/Additional%20Information.pdf,true,2023-09-17T19:09:51.000,4,2023-09-17T19:15:50.000
240000053,http://publicdata.usac.org/SL/Prd/Form470/351412/240000053/Additional%20Information%20.pdf,true,2023-09-18T14:09:53.000,3,2023-09-18T14:55:51.000
240000056,,false,,1,2023-07-18T09:46:21.000
240000057,http://publicdata.usac.org/SL/Prd/Form470/337697/240000057/Bloomfield%20Eastern%20Greene%20County%20Public%20Library%20Internet%20RFP%20FY2024.docx,true,2023-07-18T11:07:27.000,1,2023-07-18T11:18:25.000
240000060,,false,,1,2023-07-18T15:14:05.000
240000061,,false,,2,2023-12-11T12:20:07.000
240000064,,false,,1,2023-07-19T11:17:32.000
240000072,http://publicdata.usac.org/SL/Prd/Form470/337279/240000072/FY2024%20Internet%20and%20WAN%20RFP%20for%20Anderson%20Public%20Library.docx,true,2023-07-19T16:07:19.000,1,2023-07-19T16:57:18.000
240000076,,false,,1,2023-08-25T14:10:44.000
240000084,,false,,1,2023-07-24T12:42:36.000
240000092,http://publicdata.usac.org/SL/Prd/Form470/348088/240000092/Reference_Questionnaire%202.pdf,true,2023-08-09T18:08:57.000,1,2023-08-09T18:13:55.000
240000093,http://publicdata.usac.org/SL/Prd/Form470/348088/240000093/References.pdf,true,2023-08-09T18:08:49.000,200,2023-08-09T18:14:48.000
240000094,,false,,5,2023-09-11T12:45:47.000
240000098,http://publicdata.usac.org/SL/Prd/Form470/349141/240000098/CAT%202%20BID%20SHEET%20PPLD%202024%20RFP.xlsx,true,2023-08-11T17:08:04.000,175,2023-08-11T17:36:02.000
240000102,http://publicdata.usac.org/SL/Prd/Form470/333567/240000102/IFB_23028_Addendum_No._1.zip,true,2023-09-07T18:09:32.000,2,2023-07-27T13:34:53.000
240000103,http://publicdata.usac.org/SL/Prd/Form470/397232/240000103/Delta%20C1%20RFP%20FY2023.pdf,true,2023-07-27T13:07:55.000,1,2023-07-27T13:09:53.000
240000106,http://publicdata.usac.org/SL/Prd/Form470/290746/240000106/Mount%20Carmel%20C1%20RFP%20FY2024.pdf,true,2023-07-27T14:07:44.000,1,2023-07-27T14:37:42.000
240000111,http://publicdata.usac.org/SL/Prd/Form470/383927/240000111/Success%20Prep%20C1%20RFP%20FY2024.pdf,true,2023-07-28T08:07:27.000,1,2023-07-28T08:50:25.000
240000117,http://publicdata.usac.org/SL/Prd/Form470/17019552/240000117/Thrive%20C1%20RFP%20FY2024.pdf,true,2023-07-30T16:07:35.000,1,2023-07-30T16:39:34.000
240000120,http://publicdata.usac.org/SL/Prd/Form470/346156/240000120/Deadline%20extention.docx,true,2023-09-20T15:09:02.000,5,2023-08-17T13:49:29.000
240000123,http://publicdata.usac.org/SL/Prd/Form470/340720/240000123/SO_DarkFiber_LitFiberService_RFQ_2024.docx,true,2023-08-21T14:08:12.000,4,2023-08-21T14:02:11.000
240000126,http://publicdata.usac.org/SL/Prd/Form470/17027335/240000126/2024%20RFP%20C1.C2%20No.%20240000126%20Joliet.docx,true,2023-07-31T14:07:22.000,1,2023-07-31T14:14:21.000
240000131,http://publicdata.usac.org/SL/Prd/Form470/17016099/240000131/Believe%20Memphis%20Academy%20C1%20RFP.pdf,true,2023-07-31T19:07:27.000,1,2023-07-31T19:58:26.000
