unique_id,service_request_id,service_category,service_type
a39dda7d-c4d3-4f23-8bf4-4c75d001da60,1,Category 1,Data Transmission and/or Internet Access
82b81811-f8d9-455d-b754-f07c2b04d832,1,Category 1,Data Transmission and/or Internet Access
caa840a6-f806-4036-991d-3109ec397549,1,Category 1,Data Transmission and/or Internet Access
3215ca8c-2de7-4873-addc-d3704e6296d6,1,Category 1,Data Transmission and/or Internet Access
30167f7c-16cd-45bb-82ca-c73272f37246,1,Category 2,Internal Connections
25e91098-2dc3-427e-aa12-e5fafb5fc794,1,Category 1,Data Transmission and/or Internet Access
87031e2a-3b81-4988-8a23-b564736c2056,1,Category 1,Data Transmission and/or Internet Access
7c8f3948-4207-4f23-bc28-fefb495577c8,3,Category 2,Basic Maintenance of Internal Connections
5b3a3d41-f0e1-4ce3-bef4-ca6d6d88f458,1,Category 1,Data Transmission and/or Internet Access
e0eefccc-168b-4654-82f8-86fc72224d9c,1,Category 1,Data Transmission and/or Internet Access
3e2afc1c-57d5-44d8-8211-2d69312c98fc,1,Category 1,Data Transmission and/or Internet Access
ab4fa312-381c-4f11-82fc-d128b6e93e8d,1,Category 1,Data Transmission and/or Internet Access
d1ec0713-7ff9-4b21-a9b4-4e8ef1d5f617,1,Category 1,Data Transmission and/or Internet Access
e01bcff0-5aa7-46b0-a104-7aa57740fe1b,1,Category 1,Data Transmission and/or Internet Access
00090062-0892-4ad2-9bc8-fb67a5ae65e4,1,Category 2,Basic Maintenance of Internal Connections
42d577d7-6f0f-4c04-ab7b-85343508be92,1,Category 1,Data Transmission and/or Internet Access
a8957935-687e-47e1-9166-a8ffdce874d4,1,Category 1,Data Transmission and/or Internet Access
d1912800-3bb7-41f1-b2d1-676c942e335c,1,Category 2,Internal Connections
ef34d2f8-1eb1-46d4-830d-f0e502dbb07d,1,Category 1,Data Transmission and/or Internet Access
c0fcfcd3-2239-4459-8af9-36281499f2d0,1,Category 1,Data Transmission and/or Internet Access
bc40e31c-203f-4bd3-a0ac-b3639e2a2c46,1,Category 1,Data Transmission and/or Internet Access
6bd8be0b-91d0-40ff-96f5-5ac3cbf14394,1,Category 1,Data Transmission and/or Internet Access
73c355dd-8fd2-46d1-8034-36d7b1f46322,1,Category 1,Data Transmission and/or Internet Access
526987fa-8950-4bc6-9450-7094f7bd8dbb,1,Category 1,Data Transmission and/or Internet Access
6208acf9-caaa-45ea-a06a-fc5b80b58a62,1,Category 1,Data Transmission and/or Internet Access
5079a8f4-fb76-4792-ba79-1cfd66444902,1,Category 1,Data Transmission and/or Internet Access
f3ce791b-71c2-4987-8c7c-8b11c38f020e,1,Category 1,Data Transmission and/or Internet Access
0b4e94b5-fd96-4814-99c1-4db91018491f,1,Category 1,Data Transmission and/or Internet Access
3caa6978-0dac-4c52-a93a-71cd38a67208,1,Category 1,Data Transmission and/or Internet Access
bb946ca9-30f7-4a58-8cc1-fd557c73dcb3,1,Category 1,Data Transmission and/or Internet Access
218b8a37-c9e2-4971-a0d6-f15e2ced8ae2,1,Category 1,Data Transmission and/or Internet Access
a13b2461-0a0a-4078-aa7c-ca4439c86c59,1,Category 1,Data Transmission and/or Internet Access
1ec22206-1912-403e-a24d-3f607bc5da2d,1,Category 1,Data Transmission and/or Internet Access
b52047fc-b323-4db1-9d14-acedec6fe34f,1,Category 1,Data Transmission and/or Internet Access
781c4431-5acd-433b-b452-6a1aadad6a9d,1,Category 1,Data Transmission and/or Internet Access
dcb01e3b-f674-4cd5-9318-c04015d395ae,1,Category 1,Data Transmission and/or Internet Access
c7cb5de3-ffc5-4959-ac31-c311f0f8852a,1,Category 1,Data Transmission and/or Internet Access
17635315-9dc9-44f3-8e80-cc742bed1ece,3,Category 2,Internal Connections
8e699578-9178-46a5-93ee-8791f63b6bd5,1,Category 1,Data Transmission and/or Internet Access
