unique_id,service_request_id,service_category,service_type
f00643c9-f917-40ba-b10e-d321381e9434,1,Category 1,Data Transmission and/or Internet Access
380ae92b-9625-46c6-ac08-76c8224ee149,2,Category 1,Data Transmission and/or Internet Access
0edb5aaa-d919-4204-9b55-94672f2659c8,1,Category 2,Internal Connections
8df90eb4-f502-4523-bbd9-15997a15a6ca,2,Category 2,Basic Maintenance of Internal Connections
133c7514-bab3-455d-b64d-8294f44ccdc1,3,Category 2,Internal Connections
77877c4a-71f9-4ea8-8031-b27db778559f,4,Category 2,Basic Maintenance of Internal Connections
d9a3a406-2995-41a6-8bcd-ee2ba97f874c,5,Category 2,Managed Internal Broadband Services
26b1980b-2445-4f99-8cc3-992148f67785,1,Category 2,Internal Connections
415af350-d50b-4338-be47-99d9727edbd4,1,Category 2,Internal Connections
6b0f9377-49d6-460f-ba3e-0a6e3b23e257,1,Category 2,Internal Connections
026d0892-2b88-46c0-93a0-8494d81a4dcd,1,Category 2,Internal Connections
e600a306-819f-457e-9bbc-937e5e6c2ae8,1,Category 2,Internal Connections
9eea902c-a215-4c25-946f-736c2401778f,1,Category 2,Internal Connections
080fc5b9-932a-4dbe-9bdc-699293482d2b,1,Category 2,Internal Connections
9786a9cc-3c0b-4c6f-a424-f75152187065,1,Category 2,Internal Connections
a81ff758-d557-4576-8e33-f0ed6a8302e5,1,Category 2,Internal Connections
64b24230-bc9a-4156-903d-dd912c4f6c1a,1,Category 2,Internal Connections
cdc2093d-8b9c-4592-a3e4-189a3be5bbe0,2,Category 2,Basic Maintenance of Internal Connections
d4d6db83-5bb9-4247-b492-1b29d26efaf0,2,Category 2,Basic Maintenance of Internal Connections
1a59af7b-031d-4aa1-8cf6-e553d0c366d0,2,Category 2,Basic Maintenance of Internal Connections
466e8067-ddbf-43fc-a217-003ffebcadc0,2,Category 2,Basic Maintenance of Internal Connections
1070b5af-16e0-47dc-8458-417e5f2f35f4,2,Category 2,Basic Maintenance of Internal Connections
535cde31-ecdc-4140-a976-2186e858ad27,2,Category 2,Basic Maintenance of Internal Connections
890bde8b-00d2-4309-9d7e-d0a704fb1f32,2,Category 2,Basic Maintenance of Internal Connections
6ed2143d-724b-4201-b0b9-4a8c33047692,2,Category 2,Basic Maintenance of Internal Connections
2d9af46c-459d-479b-bfb0-48b436b1ed0e,2,Category 2,Basic Maintenance of Internal Connections
b5cb4b02-4bd9-48c0-b498-ef76545d98c8,2,Category 2,Basic Maintenance of Internal Connections
f8c0734c-3d4f-40f2-aa02-28ebca5ad2c9,3,Category 2,Internal Connections
dd3dd87b-6ae9-43e1-ae6d-9b18cc62674e,3,Category 2,Internal Connections
ca5986c2-446b-4b5d-84b8-96b7134868d4,3,Category 2,Internal Connections
7273dd71-12b8-40c6-8b2c-923a79b67695,3,Category 2,Internal Connections
553f2690-d660-487a-9f95-15330e659637,3,Category 2,Internal Connections
9ed0c0e5-1caa-4df3-90a1-c242931539e5,3,Category 2,Internal Connections
1bcc7233-f314-494a-a0a3-f5069ab97f30,3,Category 2,Internal Connections
d5297479-234c-4554-bc33-44668d22ea00,3,Category 2,Internal Connections
7987e9f1-07b1-405f-b7d8-ac3152d4bf8b,3,Category 2,Internal Connections
235c97c3-9b18-4e20-a911-023e230f1c94,3,Category 2,Internal Connections
7fc870f0-bcf1-4a60-8a0d-a98eb65cbaf7,4,Category 2,Basic Maintenance of Internal Connections
71eefc98-4bf7-4a9c-aaf5-3250b12666f7,4,Category 2,Basic Maintenance of Internal Connections
37492667-c561-49af-b229-2b56e3696f1a,4,Category 2,Basic Maintenance of Internal Connections
ede2d60a-b272-44f2-b7e1-80cd4892e43f,4,Category 2,Basic Maintenance of Internal Connections
7bcce6c3-60f3-4af5-a3be-c313be8cb284,4,Category 2,Basic Maintenance of Internal Connections
e8a21b98-5cbc-4d09-829d-70f43689076b,4,Category 2,Basic Maintenance of Internal Connections
f27563d1-15d6-4830-a3a7-2442941c4f5a,4,Category 2,Basic Maintenance of Internal Connections
a2efde59-70a2-4cc1-a22a-ca55c1867aa2,4,Category 2,Basic Maintenance of Internal Connections
72f7e0b6-9463-4b0b-ae95-f7c1c09deae4,4,Category 2,Basic Maintenance of Internal Connections
0e71c186-f777-4a8b-9af6-12fb741f6e8a,4,Category 2,Basic Maintenance of Internal Connections
6011a361-e493-4b4c-96b4-49a3df70ac98,5,Category 2,Internal Connections
3cec4929-15a4-4d4b-a1e4-49afc643e6e0,5,Category 2,Internal Connections
46d6b6e8-fc49-4a40-89d6-a1db382f5c50,5,Category 2,Internal Connections
907b05d3-b7d5-490c-9af0-971784841937,5,Category 2,Internal Connections
f21c9ebf-bfbf-4f74-8086-dac4ec88dc2c,5,Category 2,Internal Connections
8ba5792b-6ee1-43a6-beac-fcba9666ea0f,5,Category 2,Internal Connections
5d1cc60c-ca95-4e3c-8fd4-dee8af1b685a,5,Category 2,Internal Connections
d674b9af-cf65-4a1e-899f-d5c69dc6ec15,5,Category 2,Internal Connections
c1a2386d-760a-42bf-86fa-7eef3c816aa2,5,Category 2,Internal Connections
bc211f64-e969-47c2-942d-f948048a5fce,5,Category 2,Internal Connections
df5284a7-6837-44f6-b6b9-9fbf55348f44,6,Category 2,Basic Maintenance of Internal Connections
a9be3ea2-8922-4074-b086-b692160e5eec,6,Category 2,Basic Maintenance of Internal Connections
8791e681-b908-4ebf-b051-d16d148fc297,6,Category 2,Basic Maintenance of Internal Connections
4cf6417c-debe-4d61-8423-5c6ee13d2681,6,Category 2,Basic Maintenance of Internal Connections
3c346c75-feec-4e8f-9bad-a2cfcfd8aec7,6,Category 2,Basic Maintenance of Internal Connections
53bb00ac-1f64-4cce-9c60-4bc3294a83aa,6,Category 2,Basic Maintenance of Internal Connections
993ce226-0f10-4e20-a706-0c73c347577c,6,Category 2,Basic Maintenance of Internal Connections
79f1e087-955d-43d0-979f-ebbeefa75ad3,6,Category 2,Basic Maintenance of Internal Connections
ca40b7b8-c3d1-4a99-b5cc-9743df8069e0,6,Category 2,Basic Maintenance of Internal Connections
68727a2e-08cc-47e6-910b-d3cbeb3d9e99,6,Category 2,Basic Maintenance of Internal Connections
8bf6bff4-e328-4db9-8f46-ad83d565c6bf,7,Category 2,Internal Connections
035329c8-84c5-409f-8ec0-616e9bcdca33,7,Category 2,Internal Connections
9fc1139c-e001-4c89-933a-51dbb3b5b201,7,Category 2,Internal Connections
27ee9826-97cf-4113-a562-b31591468d4d,7,Category 2,Internal Connections
ceff0353-4f19-4edc-9389-2af07e899240,7,Category 2,Internal Connections
8280a803-057e-44da-858f-b4346d844703,7,Category 2,Internal Connections
84787f72-c870-4a15-9a73-efc05771f04d,7,Category 2,Internal Connections
1833c18a-8022-46f3-b63f-a745ba952eb1,7,Category 2,Internal Connections
e480ab97-4ba1-4ac8-91c3-b3b5e7632b15,7,Category 2,Internal Connections
4102cb54-b5d0-4e73-b790-2ffa4b5c3977,7,Category 2,Internal Connections
beb978ba-1616-4f94-9656-3674e733db4c,8,Category 2,Basic Maintenance of Internal Connections
9b84f08b-6238-4102-9690-13ac26699bf4,8,Category 2,Basic Maintenance of Internal Connections
56a6128c-f254-4400-9c94-1f90a53e416f,8,Category 2,Basic Maintenance of Internal Connections
acf3e66b-7ca0-4f57-8e65-12ea04b44e67,8,Category 2,Basic Maintenance of Internal Connections
3915e023-aee1-44a8-8467-48c2edf37624,8,Category 2,Basic Maintenance of Internal Connections
4264b482-c139-4cf2-a404-e4e6e90eb173,8,Category 2,Basic Maintenance of Internal Connections
1f4f5798-565a-496c-a8c2-f62a5be34f29,8,Category 2,Basic Maintenance of Internal Connections
d4c88ed0-40ef-4493-9491-8f880b48b70a,8,Category 2,Basic Maintenance of Internal Connections
712ec312-d7ad-4a57-8787-7bce2a8aecff,8,Category 2,Basic Maintenance of Internal Connections
b322799d-6604-44be-b6be-e3eb72b2fbba,8,Category 2,Basic Maintenance of Internal Connections
c7e01a6d-a989-4939-a612-afb95b3ac6a1,9,Category 2,Internal Connections
